,track_uri,artist_uri,genres
87,5p0ietGkLNEqx1Z7ijkw5g,5Z1CCuBsyhEHngq3U5IraY,['boy band']
88,2Ghu1DdMwxS3VAyB7i38Wo,2CQZr2RPZmrcvDnaod1ldC,['k-pop']
89,2rbDhOo9Fh61Bbu23T2qCk,1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']"
90,1MAXdOA4Dtz6eJMz0nEq2H,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'pop']"
91,3Brp8KXSRPlvB1SqKQf7Qz,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
92,6kKC35sKUh2FUx4M0qAL44,4ufh0WuMZh6y4Dmdnklvdl,['k-pop']
93,6jDpNY9UT7L4ZruWx78tAQ,7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo']"
94,0HFa5Rr2x5iwqIvGTMqif6,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
95,0KqEwy3JfnY6ePwdXtCAfz,6So94AgQzV91d8k5xWb6wU,['nepali indie']
96,0mQCnP1xe84IkrxUZlmlU4,3zDRCqOhJXJfS2YWOEwGMC,['danish pop']
97,0z61b7EngKaghmnCqzpXsp,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
98,2DQGzUsZdL54wK0Mz9BYGP,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
99,4O0sGJdqpHMaWz7KoVd7tb,1EevBGfUh3RSQSGpluxgBm,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter']"
100,66dUJM4UG2GSYD1DBFtMlX,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
101,3CRtbOoAP82y0VbPO5j1ft,4xnihxcoXWK3UqryOSnbw5,['alt z']
102,5SqEWwdYt55W8Tz7j8WtwQ,0Vb2DjojEYsasFpc3aTZb6,['korean ost']
103,5QGooKayQPVZMUDc8Qt3Dm,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
104,77IZ5gbHrUR6lp9gE9QqYb,4Kxlr1PRlDKEB0ekOCyHgX,"['k-pop', 'k-pop boy group']"
105,2mdEsXPu8ZmkHRRtAdC09e,00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']"
106,1HYzRuWjmS9LXCkdVHi25K,6jV25rzTKQ2zMgrqHha1V5,['k-pop']
107,4TBtGrMgUYH7D5Tf5HLvyz,7oEWmZ9dKlAVxTgmjUbYr4,['kaneka']
108,1258tSoXDDa43uqT75r5N0,3BmGtnKgCSGYIUhmivXKWX,"['dance pop', 'pop', 'talent show']"
109,1Z8TPHiKeCUyClxV6WTTIf,0ghlgldX5Dd6720Q3qFyQB,"['k-pop', 'k-pop boy group']"
110,1tF7RL54zjHSy0N2qEQLDY,4tuJ0bMpJh08umKkEXKUI5,['alt z']
111,3WUyu94psXrYV6HZbXgcFA,6iVo62B0bdTknRcrktCmak,['k-pop']
112,4Y5gx8VuShNmakYGlnrUzD,2WxjxdeF7GGdcCK276qViY,[]
113,5u6CQi2rgD1EyiztQnrrwY,2CQZr2RPZmrcvDnaod1ldC,['k-pop']
114,6yxMtyaZpwPKSHCBY3vFtq,5TnQc2N1iKlFjYD7CPGvFc,"['k-pop', 'k-pop boy group']"
115,0yc6Gst2xkRu0eMLeRMGCX,1QAJqy2dA3ihHBFIHRphZj,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
116,6IG7m4GoppVTn9LcuVkEbe,7qG3b048QCHVRO5Pv1T5lw,"['dance pop', 'latin pop', 'mexican pop']"
117,6ptXPYWYpZMTnstxz5WvT4,7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo']"
118,18OjYSOz2ryc2vLmAeG2de,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
119,4d1CG5ei1E2vGbvmgf5KKv,06HL4z0CvFAxyc27GXpf02,['pop']
120,2QDnRMFfnes9DUWc6HgixI,1vnIL4DMlivP55ioM6KitW,"['adult standards', 'mellow gold', 'native american', 'singer-songwriter', 'soft rock']"
121,3EludUFeAoJAwSixWGG5Wg,24CgJHK6T7C5OmUbiLLMjJ,"['pop r&b', 'st louis rap']"
122,5ooilrQAnOJbUjq7IDm8lY,4IWBUUAFIplrNtaOHcJPRM,"['pop', 'talent show', 'uk pop']"
123,3Y8EsAwWnS9OaKQtMBNPAK,1rp5HzWaNwgauM5W5YmZ3U,['korean talent show']
124,4FObSSNE4O4dgzD4iHFprW,6OwKE9Ez6ALxpTaKcT5ayv,['k-pop']
125,2iW0q5jJJT5HKlIs25AAgv,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
126,4rnvC8St4YDHGuQdBEByRz,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
127,7wDVvxMUdW5MtJUqFtuXUz,2PSJ6YriU7JsFucxACpU7Y,['k-pop']
128,6Ln89sczgIcAJXGAIdS94R,4gdMJYnopf2nEUcanAwstx,"['hindi indie', 'indian indie', 'indian singer-songwriter']"
129,21AziTMaZwcLflGMAj85o5,5JZ7CnR6gTvEMKX4g70Amv,['pop']
130,3qqho4PnTn3zlMPBzWhFFD,3Yl4nkmEa8BSuGWbwhdLDq,"['girl group', 'post-teen pop', 'talent show']"
131,5NIjdxrVUW4GGyLIqXUw9K,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
132,26FtmKIJLcR0DXSClagzs6,4eh2JeBpQaScfHKKXZh5vO,['korean superband']
133,6D2tzc8kRnZb7P1lNwMBLH,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
134,7GXG38022Aw5g67p1HTpOp,4ArPQ1Opcksbbf3CPwEjWE,['social media pop']
135,4sOX1nhpKwFWPvoMMExi3q,6CwfuxIqcltXDGjfZsMd9A,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']"
136,3gsCAGsWr6pUm1Vy7CPPob,0W498bDDNlJIrYMKXdpLHA,"['adult standards', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
137,5I9sHwLDX28tLtzVgKLtpr,49e4v89VmlDcFCMyDv9wQ9,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
138,4GJAd1nBylAEbw1dZDVzEQ,3hyEbRtp617pNCuuQjyOmc,"['pop dance', 'pop edm']"
139,6SL8U8TtdwOtGhbmGzsMfX,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
140,7m9OqQk4RVRkw9JJdeAw96,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']"
141,1J5Vc7uzVstxzSt1A6LGzW,7okSU80WTrn4LXlyXYbX3P,"['alt z', 'gen z singer-songwriter']"
